Input,PalletType,DecimalBoxNumber,NetBoxNumber,NumberPallet,TotalPalletWeight,NetProductWeight,TotalWeight,Input.1,UnitCost,UnitSelling,TransportCost,TransportSelling,SubTotalSelling,TotalSelling,CostPerKg,SellingPerKg,ProfitPerKg
480,EURO,32,32,0.8888888888888888,42.666666666666664,480,522.6666666666666,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
480,STANDARD,32,32,0.6666666666666666,38.666666666666664,480,518.6666666666666,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
481,EURO,32.06666666666667,32,0.8907407407407408,42.75555555555556,480,522.7555555555556,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
481,STANDARD,32.06666666666667,32,0.6680555555555556,38.74722222222223,480,518.7472222222223,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
482,EURO,32.13333333333333,32,0.8925925925925926,42.84444444444445,480,522.8444444444444,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
482,STANDARD,32.13333333333333,32,0.6694444444444444,38.827777777777776,480,518.8277777777778,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
483,EURO,32.2,32,0.8944444444444445,42.93333333333334,480,522.9333333333334,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
483,STANDARD,32.2,32,0.6708333333333334,38.90833333333334,480,518.9083333333333,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
484,EURO,32.266666666666666,32,0.8962962962962963,43.02222222222222,480,523.0222222222222,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
484,STANDARD,32.266666666666666,32,0.6722222222222222,38.98888888888889,480,518.9888888888889,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
485,EURO,32.333333333333336,32,0.8981481481481483,43.111111111111114,480,523.1111111111111,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
485,STANDARD,32.333333333333336,32,0.6736111111111112,39.06944444444445,480,519.0694444444445,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
486,EURO,32.4,32,0.8999999999999999,43.199999999999996,480,523.2,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
486,STANDARD,32.4,32,0.6749999999999999,39.15,480,519.15,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
487,EURO,32.46666666666667,32,0.9018518518518519,43.28888888888889,480,523.2888888888889,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
487,STANDARD,32.46666666666667,32,0.6763888888888889,39.230555555555554,480,519.2305555555556,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
488,EURO,32.53333333333333,32,0.9037037037037037,43.37777777777778,480,523.3777777777777,480,4800,5040,4e3,5600,10640,11331.6,18.333333333333332,23.6075,5.2741666666666696
